# _root_ In a strongly worded response summarizing a filing made in the same court yesterday , GE asserted that `` prosecutors have misstated the testimony of witnesses , distorted documents and ignored important facts . ''
#goldHeads=17,5,4,5,1,5,8,6,8,9,13,13,10,9,17,17,0,21,21,21,17,30,24,22,24,25,30,30,28,21,30,33,31,17,17,
#predictedHeads=17,5,4,5,1,5,8,6,8,9,13,13,10,17,17,17,0,21,21,21,17,21,24,22,24,25,22,30,28,22,30,33,31,17,17,
(9,21),(21,29),0.0119227 # DEPENDENCYPART_GRANDPAR
(9,21),(21,30),-0.396957 # DEPENDENCYPART_GRANDPAR
(9,21),(21,33),-0.245095 # DEPENDENCYPART_GRANDPAR
(9,21),(21,34),-1.22921 # DEPENDENCYPART_GRANDPAR
(9,21),(21,35),-0.501843 # DEPENDENCYPART_GRANDPAR
(9,22),(22,10),0.477203 # DEPENDENCYPART_GRANDPAR
(9,22),(22,15),0.0858519 # DEPENDENCYPART_GRANDPAR
(9,22),(22,16),-0.087209 # DEPENDENCYPART_GRANDPAR
(9,22),(22,18),-0.328996 # DEPENDENCYPART_GRANDPAR
(9,22),(22,19),-0.0279887 # DEPENDENCYPART_GRANDPAR
(9,22),(22,20),-0.569604 # DEPENDENCYPART_GRANDPAR
(9,22),(22,23),-0.582604 # DEPENDENCYPART_GRANDPAR
(9,22),(22,24),-0.30001 # DEPENDENCYPART_GRANDPAR
(9,22),(22,25),-0.533857 # DEPENDENCYPART_GRANDPAR
(9,22),(22,26),-0.524126 # DEPENDENCYPART_GRANDPAR
(9,22),(22,27),0.283175 # DEPENDENCYPART_GRANDPAR
(9,22),(22,28),-0.0169311 # DEPENDENCYPART_GRANDPAR
(9,22),(22,29),-0.0279047 # DEPENDENCYPART_GRANDPAR
(9,22),(22,30),-0.492118 # DEPENDENCYPART_GRANDPAR
(9,22),(22,31),-0.388272 # DEPENDENCYPART_GRANDPAR
(9,22),(22,33),-0.284929 # DEPENDENCYPART_GRANDPAR
(9,22),(22,34),-1.25451 # DEPENDENCYPART_GRANDPAR
(9,22),(22,35),-0.487741 # DEPENDENCYPART_GRANDPAR
(9,28),(28,10),0.477203 # DEPENDENCYPART_GRANDPAR
(9,28),(28,14),-0.10073 # DEPENDENCYPART_GRANDPAR
(9,28),(28,17),-0.181608 # DEPENDENCYPART_GRANDPAR
(9,28),(28,18),-0.328998 # DEPENDENCYPART_GRANDPAR
(9,28),(28,20),-0.569604 # DEPENDENCYPART_GRANDPAR
(9,28),(28,24),-0.496336 # DEPENDENCYPART_GRANDPAR
(9,28),(28,25),-0.691437 # DEPENDENCYPART_GRANDPAR
(9,28),(28,26),-0.721123 # DEPENDENCYPART_GRANDPAR
(9,28),(28,27),0.0681298 # DEPENDENCYPART_GRANDPAR
(9,28),(28,29),-0.0293811 # DEPENDENCYPART_GRANDPAR
(9,28),(28,30),-0.493592 # DEPENDENCYPART_GRANDPAR
(9,28),(28,31),-0.389754 # DEPENDENCYPART_GRANDPAR
(9,28),(28,32),-0.817371 # DEPENDENCYPART_GRANDPAR
(9,28),(28,33),-0.286405 # DEPENDENCYPART_GRANDPAR
(9,28),(28,34),-1.25599 # DEPENDENCYPART_GRANDPAR
(9,28),(28,35),-0.489234 # DEPENDENCYPART_GRANDPAR
(9,34),(34,31),-0.407841 # DEPENDENCYPART_GRANDPAR
(9,34),(34,32),-1.02942 # DEPENDENCYPART_GRANDPAR
(10,8),(8,2),0.220851 # DEPENDENCYPART_GRANDPAR
(10,8),(8,3),0.169927 # DEPENDENCYPART_GRANDPAR
(10,8),(8,4),-0.0383878 # DEPENDENCYPART_GRANDPAR
(10,8),(8,5),-0.244308 # DEPENDENCYPART_GRANDPAR
(10,8),(8,6),-0.0141203 # DEPENDENCYPART_GRANDPAR
(10,8),(8,7),0.210011 # DEPENDENCYPART_GRANDPAR
(10,8),(8,9),0.143526 # DEPENDENCYPART_GRANDPAR
(10,8),(8,10),-1.31856 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,8),(8,11),0.137192 # DEPENDENCYPART_GRANDPAR
(10,8),(8,12),-0.134465 # DEPENDENCYPART_GRANDPAR
(10,8),(8,13),-0.0399977 # DEPENDENCYPART_GRANDPAR
(10,8),(8,15),-0.333577 # DEPENDENCYPART_GRANDPAR
(10,8),(8,16),-0.46371 # DEPENDENCYPART_GRANDPAR
(10,8),(8,17),-0.646409 # DEPENDENCYPART_GRANDPAR
(10,8),(8,19),-0.373806 # DEPENDENCYPART_GRANDPAR
(10,8),(8,27),-0.90595 # DEPENDENCYPART_GRANDPAR
(10,9),(9,1),0.162698 # DEPENDENCYPART_GRANDPAR
(10,9),(9,3),0.0749207 # DEPENDENCYPART_GRANDPAR
(10,9),(9,5),-0.106873 # DEPENDENCYPART_GRANDPAR
(10,9),(9,6),-0.142608 # DEPENDENCYPART_GRANDPAR
(10,9),(9,7),0.155462 # DEPENDENCYPART_GRANDPAR
(10,9),(9,8),-0.0307406 # DEPENDENCYPART_GRANDPAR
(10,9),(9,10),-1.29397 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(10,9),(9,11),0.287962 # DEPENDENCYPART_GRANDPAR
(10,9),(9,12),-0.0175843 # DEPENDENCYPART_GRANDPAR
(10,9),(9,13),-0.063342 # DEPENDENCYPART_GRANDPAR
(10,9),(9,14),0.045946 # DEPENDENCYPART_GRANDPAR
(10,9),(9,15),-0.202865 # DEPENDENCYPART_GRANDPAR
(10,9),(9,16),-0.487357 # DEPENDENCYPART_GRANDPAR
(10,9),(9,17),-0.579001 # DEPENDENCYPART_GRANDPAR
(10,9),(9,21),-0.660319 # DEPENDENCYPART_GRANDPAR
(10,9),(9,22),-1.01425 # DEPENDENCYPART_GRANDPAR
(10,9),(9,28),-0.965297 # DEPENDENCYPART_GRANDPAR
(10,9),(9,34),-0.797306 # DEPENDENCYPART_GRANDPAR
(10,11),(11,12),0.389017 # DEPENDENCYPART_GRANDPAR
(10,11),(11,13),0.509832 # DEPENDENCYPART_GRANDPAR
(10,12),(12,11),0.786668 # DEPENDENCYPART_GRANDPAR
(10,12),(12,13),0.650108 # DEPENDENCYPART_GRANDPAR
(10,13),(13,11),0.880055 # DEPENDENCYPART_GRANDPAR
(10,13),(13,12),0.627539 # DEPENDENCYPART_GRANDPAR
(10,13),(13,14),0.679276 # DEPENDENCYPART_GRANDPAR
(10,13),(13,16),0.125632 # DEPENDENCYPART_GRANDPAR
(10,14),(14,2),-0.535965 # DEPENDENCYPART_GRANDPAR
(10,14),(14,7),-0.546805 # DEPENDENCYPART_GRANDPAR
(10,14),(14,11),0.620517 # DEPENDENCYPART_GRANDPAR
(10,14),(14,12),0.334381 # DEPENDENCYPART_GRANDPAR
(10,14),(14,13),0.163744 # DEPENDENCYPART_GRANDPAR
(10,14),(14,15),0.474308 # DEPENDENCYPART_GRANDPAR
(10,14),(14,16),0.0162705 # DEPENDENCYPART_GRANDPAR
(10,14),(14,17),-0.0887772 # DEPENDENCYPART_GRANDPAR
(10,14),(14,19),0.222095 # DEPENDENCYPART_GRANDPAR
(10,14),(14,20),-0.680903 # DEPENDENCYPART_GRANDPAR
(10,14),(14,21),-0.173071 # DEPENDENCYPART_GRANDPAR
(10,14),(14,24),-0.82377 # DEPENDENCYPART_GRANDPAR
(10,14),(14,27),-0.098065 # DEPENDENCYPART_GRANDPAR
(10,14),(14,30),-0.237646 # DEPENDENCYPART_GRANDPAR
(10,14),(14,35),-0.101879 # DEPENDENCYPART_GRANDPAR
(10,16),(16,11),0.878422 # DEPENDENCYPART_GRANDPAR
(10,16),(16,12),0.592825 # DEPENDENCYPART_GRANDPAR
(10,16),(16,13),0.557566 # DEPENDENCYPART_GRANDPAR
(10,16),(16,14),0.665132 # DEPENDENCYPART_GRANDPAR
(10,16),(16,15),0.229682 # DEPENDENCYPART_GRANDPAR
(10,16),(16,17),-0.0703269 # DEPENDENCYPART_GRANDPAR
(10,16),(16,18),-0.426535 # DEPENDENCYPART_GRANDPAR
(10,16),(16,19),0.229402 # DEPENDENCYPART_GRANDPAR
(10,16),(16,20),-0.626837 # DEPENDENCYPART_GRANDPAR
(10,16),(16,21),-0.15462 # DEPENDENCYPART_GRANDPAR
(10,16),(16,22),-0.505574 # DEPENDENCYPART_GRANDPAR
(11,12),(12,11),-1.0001 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,12),(12,13),0.0812484 # DEPENDENCYPART_GRANDPAR
(11,13),(13,11),-0.947362 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(11,13),(13,12),0.220302 # DEPENDENCYPART_GRANDPAR
(11,13),(13,14),-0.0434183 # DEPENDENCYPART_GRANDPAR
(11,13),(13,16),-0.168876 # DEPENDENCYPART_GRANDPAR
(12,11),(11,12),-1.50579 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,11),(11,13),-0.244174 # DEPENDENCYPART_GRANDPAR
(12,13),(13,11),-0.640939 # DEPENDENCYPART_GRANDPAR
(12,13),(13,12),-1.03146 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(12,13),(13,14),0.137392 # DEPENDENCYPART_GRANDPAR
(12,13),(13,16),-0.0677985 # DEPENDENCYPART_GRANDPAR
(13,11),(11,12),0.0920086 # DEPENDENCYPART_GRANDPAR
(13,11),(11,13),-1.43913 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,12),(12,11),-0.0868056 # DEPENDENCYPART_GRANDPAR
(13,12),(12,13),-1.46537 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,14),(14,2),-0.732075 # DEPENDENCYPART_GRANDPAR
(13,14),(14,7),-0.697431 # DEPENDENCYPART_GRANDPAR
(13,14),(14,11),-0.684282 # DEPENDENCYPART_GRANDPAR
(13,14),(14,12),-0.426592 # DEPENDENCYPART_GRANDPAR
(13,14),(14,13),-0.993059 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,14),(14,15),0.0480999 # DEPENDENCYPART_GRANDPAR
(13,14),(14,16),0.452557 # DEPENDENCYPART_GRANDPAR
(13,14),(14,17),0.047518 # DEPENDENCYPART_GRANDPAR
(13,14),(14,19),0.0669417 # DEPENDENCYPART_GRANDPAR
(13,14),(14,20),0.0988967 # DEPENDENCYPART_GRANDPAR
(13,14),(14,21),-0.0529311 # DEPENDENCYPART_GRANDPAR
(13,14),(14,24),-0.394975 # DEPENDENCYPART_GRANDPAR
(13,14),(14,27),0.0938729 # DEPENDENCYPART_GRANDPAR
(13,14),(14,30),-0.33966 # DEPENDENCYPART_GRANDPAR
(13,14),(14,35),-0.241443 # DEPENDENCYPART_GRANDPAR
(13,16),(16,11),-0.684054 # DEPENDENCYPART_GRANDPAR
(13,16),(16,12),-0.426553 # DEPENDENCYPART_GRANDPAR
(13,16),(16,13),-0.871143 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(13,16),(16,14),0.521791 # DEPENDENCYPART_GRANDPAR
(13,16),(16,15),0.0240293 # DEPENDENCYPART_GRANDPAR
(13,16),(16,17),0.0463618 # DEPENDENCYPART_GRANDPAR
(13,16),(16,18),0.0506466 # DEPENDENCYPART_GRANDPAR
(13,16),(16,19),0.0589228 # DEPENDENCYPART_GRANDPAR
(13,16),(16,20),0.134938 # DEPENDENCYPART_GRANDPAR
(13,16),(16,21),-0.0540869 # DEPENDENCYPART_GRANDPAR
(13,16),(16,22),-0.22868 # DEPENDENCYPART_GRANDPAR
(14,2),(2,1),-0.524542 # DEPENDENCYPART_GRANDPAR
(14,2),(2,3),-0.139391 # DEPENDENCYPART_GRANDPAR
(14,2),(2,4),-0.589339 # DEPENDENCYPART_GRANDPAR
(14,7),(7,9),-0.22295 # DEPENDENCYPART_GRANDPAR
(14,11),(11,12),0.143202 # DEPENDENCYPART_GRANDPAR
(14,11),(11,13),0.0726837 # DEPENDENCYPART_GRANDPAR
(14,12),(12,11),0.13892 # DEPENDENCYPART_GRANDPAR
(14,12),(12,13),0.105009 # DEPENDENCYPART_GRANDPAR
(14,13),(13,11),0.0772896 # DEPENDENCYPART_GRANDPAR
(14,13),(13,12),0.08954 # DEPENDENCYPART_GRANDPAR
(14,13),(13,14),-1.50293 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,13),(13,16),-0.397216 # DEPENDENCYPART_GRANDPAR
(14,16),(16,11),-0.46 # DEPENDENCYPART_GRANDPAR
(14,16),(16,12),-0.379659 # DEPENDENCYPART_GRANDPAR
(14,16),(16,13),-0.423216 # DEPENDENCYPART_GRANDPAR
(14,16),(16,14),-0.88429 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,16),(16,15),0.138197 # DEPENDENCYPART_GRANDPAR
(14,16),(16,17),-0.0743768 # DEPENDENCYPART_GRANDPAR
(14,16),(16,18),-0.124745 # DEPENDENCYPART_GRANDPAR
(14,16),(16,19),-0.181372 # DEPENDENCYPART_GRANDPAR
(14,16),(16,20),-0.399127 # DEPENDENCYPART_GRANDPAR
(14,16),(16,21),-0.169589 # DEPENDENCYPART_GRANDPAR
(14,16),(16,22),-0.408801 # DEPENDENCYPART_GRANDPAR
(14,17),(17,1),-1.22398 # DEPENDENCYPART_GRANDPAR
(14,17),(17,2),-0.550426 # DEPENDENCYPART_GRANDPAR
(14,17),(17,3),-0.681586 # DEPENDENCYPART_GRANDPAR
(14,17),(17,4),-1.30333 # DEPENDENCYPART_GRANDPAR
(14,17),(17,5),-1.11534 # DEPENDENCYPART_GRANDPAR
(14,17),(17,6),-1.25491 # DEPENDENCYPART_GRANDPAR
(14,17),(17,7),-0.502897 # DEPENDENCYPART_GRANDPAR
(14,17),(17,8),-0.940252 # DEPENDENCYPART_GRANDPAR
(14,17),(17,9),-0.937383 # DEPENDENCYPART_GRANDPAR
(14,17),(17,10),-0.825822 # DEPENDENCYPART_GRANDPAR
(14,17),(17,11),-0.458071 # DEPENDENCYPART_GRANDPAR
(14,17),(17,12),-0.395744 # DEPENDENCYPART_GRANDPAR
(14,17),(17,13),-0.584883 # DEPENDENCYPART_GRANDPAR
(14,17),(17,14),-0.985747 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,17),(17,15),0.00923963 # DEPENDENCYPART_GRANDPAR
(14,17),(17,16),0.112496 # DEPENDENCYPART_GRANDPAR
(14,17),(17,18),-0.0798439 # DEPENDENCYPART_GRANDPAR
(14,17),(17,19),-0.0879083 # DEPENDENCYPART_GRANDPAR
(14,17),(17,20),-0.364626 # DEPENDENCYPART_GRANDPAR
(14,17),(17,21),-0.172825 # DEPENDENCYPART_GRANDPAR
(14,17),(17,22),-0.431173 # DEPENDENCYPART_GRANDPAR
(14,17),(17,24),-0.662267 # DEPENDENCYPART_GRANDPAR
(14,17),(17,25),-0.283225 # DEPENDENCYPART_GRANDPAR
(14,17),(17,27),-0.0432189 # DEPENDENCYPART_GRANDPAR
(14,17),(17,28),-0.630568 # DEPENDENCYPART_GRANDPAR
(14,17),(17,30),-0.421216 # DEPENDENCYPART_GRANDPAR
(14,17),(17,31),-0.709862 # DEPENDENCYPART_GRANDPAR
(14,17),(17,34),-1.13572 # DEPENDENCYPART_GRANDPAR
(14,17),(17,35),-0.380152 # DEPENDENCYPART_GRANDPAR
(14,20),(20,11),-0.459997 # DEPENDENCYPART_GRANDPAR
(14,20),(20,16),0.208939 # DEPENDENCYPART_GRANDPAR
(14,20),(20,17),0.0616842 # DEPENDENCYPART_GRANDPAR
(14,20),(20,18),-0.0165894 # DEPENDENCYPART_GRANDPAR
(14,20),(20,19),-0.220718 # DEPENDENCYPART_GRANDPAR
(14,20),(20,21),-0.171619 # DEPENDENCYPART_GRANDPAR
(14,20),(20,22),-0.410365 # DEPENDENCYPART_GRANDPAR
(14,20),(20,24),-0.690459 # DEPENDENCYPART_GRANDPAR
(14,20),(20,25),-0.361028 # DEPENDENCYPART_GRANDPAR
(14,21),(21,1),-1.24682 # DEPENDENCYPART_GRANDPAR
(14,21),(21,2),-0.552894 # DEPENDENCYPART_GRANDPAR
(14,21),(21,3),-0.683333 # DEPENDENCYPART_GRANDPAR
(14,21),(21,4),-1.30797 # DEPENDENCYPART_GRANDPAR
(14,21),(21,5),-1.1151 # DEPENDENCYPART_GRANDPAR
(14,21),(21,6),-1.25955 # DEPENDENCYPART_GRANDPAR
(14,21),(21,8),-0.940013 # DEPENDENCYPART_GRANDPAR
(14,21),(21,9),-0.942015 # DEPENDENCYPART_GRANDPAR
(14,21),(21,10),-0.848653 # DEPENDENCYPART_GRANDPAR
(14,21),(21,12),-0.397452 # DEPENDENCYPART_GRANDPAR
(14,21),(21,14),-0.989726 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,21),(21,15),0.0418959 # DEPENDENCYPART_GRANDPAR
(14,21),(21,16),0.109557 # DEPENDENCYPART_GRANDPAR
(14,21),(21,17),-0.0322962 # DEPENDENCYPART_GRANDPAR
(14,21),(21,18),0.147056 # DEPENDENCYPART_GRANDPAR
(14,21),(21,19),-0.2056 # DEPENDENCYPART_GRANDPAR
(14,21),(21,20),-0.446435 # DEPENDENCYPART_GRANDPAR
(14,21),(21,22),-0.395792 # DEPENDENCYPART_GRANDPAR
(14,21),(21,24),-0.657874 # DEPENDENCYPART_GRANDPAR
(14,21),(21,25),-0.287505 # DEPENDENCYPART_GRANDPAR
(14,21),(21,26),-0.802086 # DEPENDENCYPART_GRANDPAR
(14,21),(21,27),-0.0500333 # DEPENDENCYPART_GRANDPAR
(14,21),(21,28),-0.595187 # DEPENDENCYPART_GRANDPAR
(14,21),(21,29),-0.957515 # DEPENDENCYPART_GRANDPAR
(14,21),(21,30),-0.352058 # DEPENDENCYPART_GRANDPAR
(14,21),(21,33),-1.19855 # DEPENDENCYPART_GRANDPAR
(14,21),(21,34),-1.13481 # DEPENDENCYPART_GRANDPAR
(14,21),(21,35),-0.401543 # DEPENDENCYPART_GRANDPAR
(14,24),(24,19),-0.220755 # DEPENDENCYPART_GRANDPAR
(14,24),(24,20),-0.375321 # DEPENDENCYPART_GRANDPAR
(14,24),(24,22),-0.273138 # DEPENDENCYPART_GRANDPAR
(14,24),(24,23),0.102736 # DEPENDENCYPART_GRANDPAR
(14,24),(24,25),-0.351471 # DEPENDENCYPART_GRANDPAR
(14,24),(24,26),-0.837501 # DEPENDENCYPART_GRANDPAR
(14,24),(24,27),0.00532191 # DEPENDENCYPART_GRANDPAR
(14,24),(24,28),-0.607821 # DEPENDENCYPART_GRANDPAR
(14,24),(24,29),-0.990437 # DEPENDENCYPART_GRANDPAR
(14,24),(24,30),-0.605772 # DEPENDENCYPART_GRANDPAR
(14,24),(24,31),-0.687201 # DEPENDENCYPART_GRANDPAR
(14,24),(24,33),-1.23332 # DEPENDENCYPART_GRANDPAR
(14,30),(30,1),-1.22593 # DEPENDENCYPART_GRANDPAR
(14,30),(30,3),-0.60617 # DEPENDENCYPART_GRANDPAR
(14,30),(30,4),-1.28417 # DEPENDENCYPART_GRANDPAR
(14,30),(30,5),-1.12608 # DEPENDENCYPART_GRANDPAR
(14,30),(30,6),-1.23594 # DEPENDENCYPART_GRANDPAR
(14,30),(30,8),-0.95114 # DEPENDENCYPART_GRANDPAR
(14,30),(30,9),-0.917339 # DEPENDENCYPART_GRANDPAR
(14,30),(30,10),-0.827769 # DEPENDENCYPART_GRANDPAR
(14,30),(30,11),-0.423015 # DEPENDENCYPART_GRANDPAR
(14,30),(30,12),-0.392453 # DEPENDENCYPART_GRANDPAR
(14,30),(30,13),-0.595787 # DEPENDENCYPART_GRANDPAR
(14,30),(30,14),-0.911544 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(14,30),(30,15),0.244819 # DEPENDENCYPART_GRANDPAR
(14,30),(30,16),0.203687 # DEPENDENCYPART_GRANDPAR
(14,30),(30,17),0.107209 # DEPENDENCYPART_GRANDPAR
(14,30),(30,18),0.148248 # DEPENDENCYPART_GRANDPAR
(14,30),(30,19),-0.220653 # DEPENDENCYPART_GRANDPAR
(14,30),(30,20),-0.385687 # DEPENDENCYPART_GRANDPAR
(14,30),(30,21),0.0842895 # DEPENDENCYPART_GRANDPAR
(14,30),(30,22),-0.225487 # DEPENDENCYPART_GRANDPAR
(14,30),(30,23),-0.0642774 # DEPENDENCYPART_GRANDPAR
(14,30),(30,24),-0.701065 # DEPENDENCYPART_GRANDPAR
(14,30),(30,25),-0.230971 # DEPENDENCYPART_GRANDPAR
(14,30),(30,26),-0.841922 # DEPENDENCYPART_GRANDPAR
(14,30),(30,27),0.0962742 # DEPENDENCYPART_GRANDPAR
(14,30),(30,28),-0.406148 # DEPENDENCYPART_GRANDPAR
(14,30),(30,29),-0.986216 # DEPENDENCYPART_GRANDPAR
(14,30),(30,31),-0.544332 # DEPENDENCYPART_GRANDPAR
(14,30),(30,32),-0.922745 # DEPENDENCYPART_GRANDPAR
(14,30),(30,33),-1.20724 # DEPENDENCYPART_GRANDPAR
(14,30),(30,34),-1.00359 # DEPENDENCYPART_GRANDPAR
(14,30),(30,35),-0.415917 # DEPENDENCYPART_GRANDPAR
(16,11),(11,12),0.0501599 # DEPENDENCYPART_GRANDPAR
(16,11),(11,13),-0.262552 # DEPENDENCYPART_GRANDPAR
(16,12),(12,11),-0.0272575 # DEPENDENCYPART_GRANDPAR
(16,12),(12,13),-0.23078 # DEPENDENCYPART_GRANDPAR
(16,13),(13,11),-0.0761804 # DEPENDENCYPART_GRANDPAR
(16,13),(13,12),0.0142093 # DEPENDENCYPART_GRANDPAR
(16,13),(13,14),-0.106005 # DEPENDENCYPART_GRANDPAR
(16,13),(13,16),-1.59911 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,14),(14,2),-0.293349 # DEPENDENCYPART_GRANDPAR
(16,14),(14,7),-0.258622 # DEPENDENCYPART_GRANDPAR
(16,14),(14,11),-0.136442 # DEPENDENCYPART_GRANDPAR
(16,14),(14,12),-0.00481051 # DEPENDENCYPART_GRANDPAR
(16,14),(14,13),-0.157447 # DEPENDENCYPART_GRANDPAR
(16,14),(14,15),0.757991 # DEPENDENCYPART_GRANDPAR
(16,14),(14,16),-1.59944 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,14),(14,17),-0.850213 # DEPENDENCYPART_GRANDPAR
(16,14),(14,19),-0.698905 # DEPENDENCYPART_GRANDPAR
(16,14),(14,20),-1.00261 # DEPENDENCYPART_GRANDPAR
(16,14),(14,21),-1.08014 # DEPENDENCYPART_GRANDPAR
(16,14),(14,24),-1.39115 # DEPENDENCYPART_GRANDPAR
(16,14),(14,27),-0.931906 # DEPENDENCYPART_GRANDPAR
(16,14),(14,30),-1.35064 # DEPENDENCYPART_GRANDPAR
(16,14),(14,35),-1.06015 # DEPENDENCYPART_GRANDPAR
(16,17),(17,1),-1.18589 # DEPENDENCYPART_GRANDPAR
(16,17),(17,2),-0.686554 # DEPENDENCYPART_GRANDPAR
(16,17),(17,3),-0.792145 # DEPENDENCYPART_GRANDPAR
(16,17),(17,4),-1.37614 # DEPENDENCYPART_GRANDPAR
(16,17),(17,5),-1.44281 # DEPENDENCYPART_GRANDPAR
(16,17),(17,6),-1.25205 # DEPENDENCYPART_GRANDPAR
(16,17),(17,7),-0.651827 # DEPENDENCYPART_GRANDPAR
(16,17),(17,8),-1.09494 # DEPENDENCYPART_GRANDPAR
(16,17),(17,9),-1.12177 # DEPENDENCYPART_GRANDPAR
(16,17),(17,10),-0.882786 # DEPENDENCYPART_GRANDPAR
(16,17),(17,11),-0.626326 # DEPENDENCYPART_GRANDPAR
(16,17),(17,12),-0.484824 # DEPENDENCYPART_GRANDPAR
(16,17),(17,13),-0.91786 # DEPENDENCYPART_GRANDPAR
(16,17),(17,14),-0.923831 # DEPENDENCYPART_GRANDPAR
(16,17),(17,15),0.0875472 # DEPENDENCYPART_GRANDPAR
(16,17),(17,16),-1.08378 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,17),(17,18),-0.268538 # DEPENDENCYPART_GRANDPAR
(16,17),(17,19),-0.0544376 # DEPENDENCYPART_GRANDPAR
(16,17),(17,20),-0.315865 # DEPENDENCYPART_GRANDPAR
(16,17),(17,21),-0.473163 # DEPENDENCYPART_GRANDPAR
(16,17),(17,22),-0.64031 # DEPENDENCYPART_GRANDPAR
(16,17),(17,24),-0.699552 # DEPENDENCYPART_GRANDPAR
(16,17),(17,25),-0.662919 # DEPENDENCYPART_GRANDPAR
(16,17),(17,27),-0.234336 # DEPENDENCYPART_GRANDPAR
(16,17),(17,28),-0.786156 # DEPENDENCYPART_GRANDPAR
(16,17),(17,30),-0.540458 # DEPENDENCYPART_GRANDPAR
(16,17),(17,31),-0.751007 # DEPENDENCYPART_GRANDPAR
(16,17),(17,34),-1.36218 # DEPENDENCYPART_GRANDPAR
(16,17),(17,35),-0.385616 # DEPENDENCYPART_GRANDPAR
(16,18),(18,19),-0.0579098 # DEPENDENCYPART_GRANDPAR
(16,18),(18,20),-0.529213 # DEPENDENCYPART_GRANDPAR
(16,18),(18,21),-0.501006 # DEPENDENCYPART_GRANDPAR
(16,18),(18,22),-0.670173 # DEPENDENCYPART_GRANDPAR
(16,20),(20,11),-0.628687 # DEPENDENCYPART_GRANDPAR
(16,20),(20,16),-0.979995 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,20),(20,17),-0.103011 # DEPENDENCYPART_GRANDPAR
(16,20),(20,18),-0.216564 # DEPENDENCYPART_GRANDPAR
(16,20),(20,19),-0.199664 # DEPENDENCYPART_GRANDPAR
(16,20),(20,21),-0.479887 # DEPENDENCYPART_GRANDPAR
(16,20),(20,22),-0.627431 # DEPENDENCYPART_GRANDPAR
(16,20),(20,24),-0.741996 # DEPENDENCYPART_GRANDPAR
(16,20),(20,25),-0.755382 # DEPENDENCYPART_GRANDPAR
(16,21),(21,1),-1.20873 # DEPENDENCYPART_GRANDPAR
(16,21),(21,2),-0.689022 # DEPENDENCYPART_GRANDPAR
(16,21),(21,3),-0.793891 # DEPENDENCYPART_GRANDPAR
(16,21),(21,4),-1.38078 # DEPENDENCYPART_GRANDPAR
(16,21),(21,5),-1.44257 # DEPENDENCYPART_GRANDPAR
(16,21),(21,6),-1.25668 # DEPENDENCYPART_GRANDPAR
(16,21),(21,8),-1.09471 # DEPENDENCYPART_GRANDPAR
(16,21),(21,9),-1.1264 # DEPENDENCYPART_GRANDPAR
(16,21),(21,10),-0.905618 # DEPENDENCYPART_GRANDPAR
(16,21),(21,12),-0.486532 # DEPENDENCYPART_GRANDPAR
(16,21),(21,14),-0.923593 # DEPENDENCYPART_GRANDPAR
(16,21),(21,15),0.0855686 # DEPENDENCYPART_GRANDPAR
(16,21),(21,16),-1.08672 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(16,21),(21,17),-0.196756 # DEPENDENCYPART_GRANDPAR
(16,21),(21,18),-0.0471282 # DEPENDENCYPART_GRANDPAR
(16,21),(21,19),-0.184179 # DEPENDENCYPART_GRANDPAR
(16,21),(21,20),-0.445225 # DEPENDENCYPART_GRANDPAR
(16,21),(21,22),-0.604929 # DEPENDENCYPART_GRANDPAR
(16,21),(21,24),-0.695159 # DEPENDENCYPART_GRANDPAR
(16,21),(21,25),-0.667199 # DEPENDENCYPART_GRANDPAR
(16,21),(21,26),-0.694293 # DEPENDENCYPART_GRANDPAR
(16,21),(21,27),-0.24115 # DEPENDENCYPART_GRANDPAR
(16,21),(21,28),-0.750775 # DEPENDENCYPART_GRANDPAR
(16,21),(21,29),-0.891491 # DEPENDENCYPART_GRANDPAR
(16,21),(21,30),-0.4713 # DEPENDENCYPART_GRANDPAR
(16,21),(21,33),-0.966563 # DEPENDENCYPART_GRANDPAR
(16,21),(21,34),-1.36127 # DEPENDENCYPART_GRANDPAR
